state,action_0,action_1,action_2,action_3,action_4,action_5
880,-38.860945136205714,-38.79584453566477,-38.76970783496369,-38.85625107067952,-38.83587963730001,-39.19342528258325
881,-42.56437681398731,-42.62845495043551,-42.60714867554689,-42.67617089520399,-42.963321894215994,-43.10980765354291
882,0.0,0.0,0.0,0.0,0.0,0.0
883,-37.45376717168907,-37.515307297850775,-37.49728812524366,-37.471246654801305,-39.34133493426444,-39.5456446054997
884,-50.26755229702346,-50.36115401932494,-50.269740631392565,-50.32400142344199,-51.2130080372731,-51.093318849638
885,-6.539504688103301,-6.629003547949231,-6.569951145965115,-6.625795424640722,-6.55009607038258,-7.3097312105512735
886,-3.6371453405046243,-3.599143162831649,-3.5872673657742724,-3.6376506644042865,-3.9586178535074,-4.539726839468319
887,-31.788640144987944,-31.87872035382339,-31.811911297600012,-31.873196644293593,-32.643488677278185,-32.46777430942817
888,0.0,0.0,0.0,0.0,0.0,0.0
889,-2.42344583166674,-2.385017497367657,-2.3915009463529713,-2.429138612213351,-2.935486940400592,-3.769084662799308
890,-4.764605036577201,-4.833847070700545,-4.784797723211673,-4.75113431668636,-5.8622376385621635,-4.919980873153705
891,-3.3000094528915542,-3.3310584222354818,-3.2860130548575652,-3.295856757379163,-4.0,-4.0
892,-32.59150056142571,-32.62558670748962,-32.64168849502529,-32.58686650987844,-33.24353140866097,-33.015848118658326
893,-2.0678128794101975,-2.0328789604524533,-1.9972394993350013,-2.0657770517649374,-2.826,-2.9025346140910004
894,0.0,0.0,0.0,0.0,0.0,0.0
895,-4.4958439107427015,-4.551649847697589,-4.499867264913361,-4.584670746476477,-5.721649409226823,-4.8677619731923585
896,-0.7478296900000001,-0.76340981985176,-0.7000000000000002,-0.7089919000000002,-1.0,-1.9559049000000002
897,-32.338326870041406,-32.342216875842325,-32.39441486833239,-32.39795430047973,-34.64963055501548,-34.06745396302868
898,-0.3729,-0.41639000000000004,-0.399,-0.381,-1.0,-1.0
899,-0.549049,-0.5941400000000001,-0.5000000000000001,-0.5000000000000001,-1.0,-2.7670000000000003
900,0.0,0.0,0.0,0.0,0.0,0.0
901,-37.54073548971544,-37.449396468473,-37.4710945561628,-37.48529954523829,-38.547617119406326,-39.13198435563408
902,-37.49691268149086,-37.55217513204683,-37.55171064688698,-37.527767264126844,-38.13056193483261,-39.04789208873697
903,-37.37788892381842,-37.43456675378607,-37.31203287335988,-37.3641285790049,-39.90657951381954,-37.919564570727744
904,-50.064950363220504,-50.07206683261734,-49.98105407496642,-50.0163608040103,-50.010652840801114,-51.08280082154492
905,-25.03171309352951,-25.031234837828336,-25.024733526857183,-24.971537340590636,-26.792772031712307,-26.20573073828232
906,0.0,0.0,0.0,0.0,0.0,0.0
907,-25.091483442052684,-25.065870941304325,-25.111656323004283,-25.033889190667914,-25.574794712486312,-26.486264501288314
908,-49.98562571543452,-49.99916891501576,-50.07805426370922,-50.01795825949398,-50.73958110969549,-52.36282901252336
909,-37.53181178191317,-37.52740032234078,-37.52673453557538,-37.47193479666692,-37.70160734400639,-38.718816402290734
910,-40.77288025218071,-40.78357078455001,-40.74021999062853,-40.71676601326921,-41.34889406620656,-41.210869616502826
911,-29.120174332560644,-29.174062535563742,-29.088576204178235,-29.16503156495844,-29.803862509368972,-30.643845123866154
912,0.0,0.0,0.0,0.0,0.0,0.0
913,-35.007922869385595,-35.00034832538558,-35.086582832452095,-34.91325335700787,-35.61970146119036,-35.361352231500945
914,-23.22794801945016,-23.27886284061899,-23.205572570204694,-23.27116161553508,-26.03892097469628,-25.209803024160106
915,-62.57896739692228,-62.57881176147963,-62.54815236486007,-62.506896936778915,-63.82590981297716,-64.40198042589441
916,-62.417935105896234,-62.43774801032721,-62.36830864502814,-62.42009652843677,-63.55041955285344,-62.89131197886486
917,-37.578297490545886,-37.49673921154523,-37.51957264379894,-37.5344527672679,-37.500389430588626,-38.5599193994684
918,0.0,0.0,0.0,0.0,0.0,0.0
919,-25.050672649763484,-25.022956972134573,-25.03490588375081,-24.99460860920817,-25.24801109107578,-25.287830198615314
920,-75.09343666450859,-75.12986025788815,-75.07021736755249,-75.04229892241898,-79.25237415775149,-75.6216210759066
921,-50.04055781662567,-50.076566249029526,-50.01472132023636,-50.104414810352836,-51.91901508643467,-51.550579401435705
922,-24.84777256163651,-24.907850752561334,-24.89847268187159,-24.83161205218053,-26.5230065234715,-27.5633459009029
923,-62.52758061751206,-62.546351385719234,-62.48020263870091,-62.492284932646264,-64.3920576484767,-63.41926618710718
924,0.0,0.0,0.0,0.0,0.0,0.0
925,-40.76358629528117,-40.81418837446585,-40.790907825290425,-40.73536923869894,-43.37109158321871,-42.2658861791101
926,-29.10858662464863,-29.11050283791495,-29.097629140740032,-29.055749604334864,-30.498613712319965,-30.89507484976701
927,0.0,0.0,0.0,0.0,0.0,0.0
928,-34.98995719411201,-34.99994594734484,-34.95260827773577,-34.98033084997335,-34.99069955772479,-38.394306134834615
929,-23.260972877858602,-23.278180837956313,-23.258333815004704,-23.229851993428717,-23.825428072319728,-24.84829925144181
930,0.0,0.0,0.0,0.0,0.0,0.0
931,-7.19674602828705,-7.373169919415579,-7.295436140597257,-7.282472134812985,-8.0,-8.268684871400241
932,-32.93536366621025,-32.91592959235075,-32.99876242028421,-32.97612215716062,-33.431532610460955,-33.949044606653096
933,-7.05327721317637,-7.071795186352722,-7.090811491645155,-7.095923567171238,-7.874577532424501,-7.60624696513195
934,-6.082760530414437,-6.073621463691774,-6.148243146094147,-6.081000000000005,-6.7375601693394715,-7.632209629640048
935,-7.591557125447323,-7.558291942767252,-7.595758212352959,-7.559179769283266,-9.275801581159827,-8.34656566306654
936,0.0,0.0,0.0,0.0,0.0,0.0
937,-32.500431013045294,-32.55169794150779,-32.593248741725546,-32.52845166584265,-34.260065289963855,-33.70324250189027
938,-3.5000000000000027,-3.5000000000000027,-3.5589407324919407,-3.5000000000000027,-3.91,-4.805970717993679
939,-4.280950861097056,-4.290000000000004,-4.317463592713845,-4.300000000000003,-5.602610000000001,-5.588035665767096
940,-38.67927272827135,-38.69875097310875,-38.76642747223315,-38.71355506117548,-38.95304065362092,-39.77755609046439
941,-42.63154758902237,-42.65768377234187,-42.71585167658974,-42.64598588712566,-43.901439078797125,-43.67221078517166
942,0.0,0.0,0.0,0.0,0.0,0.0
943,-37.44883858689213,-37.433135697585364,-37.51404648589122,-37.43032380699094,-39.15248926575113,-39.01981757814483
944,-50.44439413643867,-50.53406984148246,-50.5056588188393,-50.47163560456032,-52.74532926335191,-51.590537424800964
945,-7.0749785030832095,-6.999200898973399,-7.087855998716563,-6.999603698089997,-7.364340286773824,-7.362408007219002
946,-4.580000000000004,-4.590000000000004,-4.615007408175538,-4.600000000000004,-4.9399999999999995,-5.61378149038792
947,-31.698341791142063,-31.73615888997182,-31.745972320415266,-31.718523203500194,-33.56594576663304,-33.00022166618713
948,0.0,0.0,0.0,0.0,0.0,0.0
949,-3.1806785628293635,-3.2000000000000024,-3.2445585862674964,-3.2000000000000024,-3.7420984872829366,-3.8890000000000007
950,-4.1990000000000025,-4.190000000000003,-4.195457554513302,-4.195211787815577,-5.7177236522933805,-4.979521178781558
951,-3.58821525249149,-3.590000000000003,-3.6175741636875376,-3.6000000000000028,-3.7590000000000003,-5.603967272724234
952,-32.47461545009643,-32.508731173318125,-32.53341166121544,-32.57909230921454,-33.1096995160832,-33.43323262580961
953,-1.9891000000000014,-1.9945786666426675,-2.0003510547951273,-1.9815260310000011,-1.9490000000000003,-2.0
954,0.0,0.0,0.0,0.0,0.0,0.0
955,-2.5739000000000014,-2.491000000000002,-2.5715819592600915,-2.5771759000000016,-4.696375100000001,-2.91
956,-2.4810000000000016,-2.4000000000000017,-2.485897304268128,-2.4000000000000017,-3.0,-3.7802907300591
957,-32.44006293813722,-32.40395723927044,-32.48691304320291,-32.44423485015673,-34.352548975567956,-32.814911374248
958,-1.3900000000000008,-1.399000000000001,-1.4004638948122983,-1.4000000000000008,-3.5891,-1.9700000000000002
959,-0.1,0.0,-0.1,0.0,0.0,0.0
960,0.0,0.0,0.0,0.0,0.0,0.0
961,-7.296616395181403,-7.297392193113064,-7.2891549221710275,-7.275577990863951,-7.854915492217104,-7.759159456181862
962,-32.91039646206551,-33.002720340018314,-32.93606897860079,-32.92980561690369,-33.53406293411857,-33.75177296612827
963,-6.999250925111378,-7.033968651409221,-6.969509042883435,-7.0178175294840734,-7.743788111778766,-7.760726372186922
964,-6.0919646146013315,-6.109612106922585,-6.05348501415438,-6.095282512111595,-6.7350410577913,-8.538746779694875
965,-7.580792153681529,-7.614412050959103,-7.5799075206159365,-7.532537716055221,-9.157217008995046,-7.595656115443426
966,0.0,0.0,0.0,0.0,0.0,0.0
967,-32.50440013445674,-32.555307985899766,-32.5461500939441,-32.545626407272934,-32.614103226058326,-33.408680165597026
968,-3.5000000000000027,-3.5373837925009024,-3.4982900000000026,-3.501347943171762,-4.0,-4.820296678235849
969,-4.352539831980343,-4.2925030769274235,-4.198622394295222,-4.289378973201691,-4.929963166571636,-5.849884637097282
970,-38.750271775968315,-38.76975722011106,-38.71096840681602,-38.72006302694961,-40.03785294289168,-39.48480009623428
971,-42.6106043138516,-42.681653176885725,-42.65407876167565,-42.665597633279745,-43.468289190136325,-44.407103126689556
972,0.0,0.0,0.0,0.0,0.0,0.0
973,-37.454378872690164,-37.496243575744536,-37.42225199445785,-37.45057768718241,-38.466637371547,-37.85703079154099
974,-50.481419143926395,-50.5157649117222,-50.44575141328228,-50.458147806418516,-51.27545317234112,-51.94017552749153
975,-6.990708684610523,-7.085388176153822,-6.994799262403412,-7.0212298488334985,-7.836957622927604,-7.835962708942976
976,-4.598100000000004,-4.598579946513357,-4.583798243427051,-4.5835447084244985,-6.687144242312508,-7.434327408098842
977,-31.72784777112794,-31.853567717198167,-31.679996580912125,-31.709422372617503,-32.647053997299764,-34.49716623219825
978,0.0,0.0,0.0,0.0,0.0,0.0
979,-3.1683511567635887,-3.2108127482666897,-3.1936596033830056,-3.1973678066874434,-4.820534124888873,-4.784433498652209
980,-4.0868910297687755,-4.128465468553016,-4.100000000000003,-4.047435272260885,-5.772311152963956,-5.426549503508447
981,-3.4000000000000026,-3.4547816780967695,-3.472873027000002,-3.4903624689622728,-6.1659393545985095,-3.9048105415294656
982,-32.43992664678733,-32.49708537041157,-32.468455214208085,-32.485166953247244,-33.36400897439269,-33.536295592922706
983,-1.8000000000000012,-1.9328280554183426,-1.8000000000000012,-1.7914712977077214,-2.9400000000000004,-3.74610912479104
984,0.0,0.0,0.0,0.0,0.0,0.0
985,-2.3942677135292745,-2.467674894852599,-2.38866143394279,-2.516934831511394,-3.7666806087679277,-3.0
986,-2.4000000000000017,-2.467914307897353,-2.4000000000000017,-2.434212545841758,-3.0,-2.95
987,-32.466920481580786,-32.519871856742064,-32.413167926479176,-32.437662515207236,-32.72238360687223,-34.91559087388869
988,-1.3000000000000007,-1.3916604152852603,-1.3000000000000007,-1.3805508142732905,-2.0,-2.0
989,-0.2,-0.30000000000000004,-0.1,-0.1,-1.0,-1.0
990,0.0,0.0,0.0,0.0,0.0,0.0
991,-7.980687499834711,-8.060897303395889,-7.977789029924726,-8.044288528672318,-8.771367039983472,-8.356092234842421
992,-32.87179824074792,-32.964306891797605,-32.94207572766906,-32.89144524438184,-34.135547614384045,-33.13377284439462
993,-7.38136967323075,-7.397764817063751,-7.371972216784773,-7.385631599047167,-9.7178935428344,-7.863023397792425
994,-6.398000000000005,-6.4813219213872575,-6.329482066099955,-6.394389027346047,-7.823538193887649,-6.9480900000000005
995,-7.156450107978141,-7.198977010525433,-7.186149241276431,-7.195048985753244,-8.724013523319773,-7.636493375345812
996,0.0,0.0,0.0,0.0,0.0,0.0
